Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-10-28 07:15",98.753,98.768,98.718,98.743,-0.009,-0.01%,0
"2025-10-28 07:00",98.698,98.756,98.688,98.752,0.054,+0.05%,0
"2025-10-28 06:45",98.711,98.724,98.697,98.698,-0.014,-0.01%,0
"2025-10-28 06:30",98.711,98.718,98.695,98.712,0.001,0.00%,0
"2025-10-28 06:15",98.69,98.711,98.667,98.711,0.021,+0.02%,0
"2025-10-28 06:00",98.634,98.691,98.632,98.69,0.053,+0.05%,0
"2025-10-28 05:45",98.659,98.659,98.628,98.637,-0.021,-0.02%,0
"2025-10-28 05:30",98.669,98.675,98.637,98.658,-0.01,-0.01%,0
"2025-10-28 05:15",98.675,98.675,98.657,98.668,-0.007,-0.01%,0
"2025-10-28 05:00",98.685,98.701,98.667,98.675,-0.01,-0.01%,0
"2025-10-28 04:45",98.676,98.699,98.672,98.685,0.008,+0.01%,0
"2025-10-28 04:30",98.751,98.751,98.677,98.677,-0.075,-0.08%,0
"2025-10-28 04:15",98.746,98.766,98.723,98.752,0.006,+0.01%,0
"2025-10-28 04:00",98.733,98.773,98.72,98.746,0.012,+0.01%,0
"2025-10-28 03:45",98.688,98.754,98.669,98.734,0.046,+0.05%,0
"2025-10-28 03:30",98.692,98.701,98.652,98.688,-0.004,0.00%,0
"2025-10-28 03:15",98.713,98.716,98.673,98.692,-0.02,-0.02%,0
"2025-10-28 03:00",98.702,98.737,98.692,98.712,0.01,+0.01%,0
"2025-10-28 02:45",98.661,98.735,98.652,98.702,0.041,+0.04%,0
"2025-10-28 02:30",98.687,98.709,98.655,98.661,-0.026,-0.03%,0
"2025-10-28 02:15",98.687,98.709,98.681,98.687,0,0.00%,0
"2025-10-28 02:00",98.674,98.728,98.674,98.687,0.013,+0.01%,0
"2025-10-28 01:45",98.643,98.678,98.635,98.674,0.03,+0.03%,0
"2025-10-28 01:30",98.619,98.658,98.615,98.644,0.025,+0.03%,0
"2025-10-28 01:15",98.618,98.623,98.574,98.619,0.001,0.00%,0
"2025-10-28 01:00",98.604,98.626,98.592,98.618,0.014,+0.01%,0
"2025-10-28 00:45",98.599,98.614,98.592,98.604,0.005,+0.01%,0
"2025-10-28 00:30",98.575,98.605,98.571,98.599,0.025,+0.03%,0
"2025-10-28 00:15",98.584,98.603,98.565,98.574,-0.009,-0.01%,0
"2025-10-28 00:00",98.577,98.588,98.565,98.583,0.006,+0.01%,0
"2025-10-27 23:45",98.605,98.605,98.568,98.577,-0.028,-0.03%,0
"2025-10-27 23:30",98.628,98.642,98.593,98.605,-0.023,-0.02%,0
"2025-10-27 23:15",98.628,98.637,98.602,98.628,0,0.00%,0
"2025-10-27 23:00",98.658,98.666,98.623,98.628,-0.031,-0.03%,0
"2025-10-27 22:45",98.693,98.693,98.634,98.659,-0.034,-0.03%,0
"2025-10-27 22:30",98.69,98.707,98.688,98.693,0.002,0.00%,0
